               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   3,             0.12298,            0.082465,            0.028498,                   0,                   0,                   0,                   0,             0.12751,            0.054099,            0.025578,            0.097122,           0.0001218,           0.0001218
                   4,             0.12253,              0.1097,            0.028708,                   0,                   0,                   0,                   0,             0.12734,            0.054321,            0.025594,            0.096083,            8.32e-05,            8.32e-05
                   0,             0.11351,            0.095436,            0.027121,            0.012346,                0.25,           0.0080475,           0.0011604,              0.1151,            0.069938,            0.027599,                 0.1,                   0,                   0
                   1,             0.11523,             0.10126,            0.027071,             0.01227,                0.25,           0.0076687,            0.001112,             0.11511,             0.06991,            0.027582,             0.09908,            8.02e-05,            8.02e-05
                   2,             0.11246,            0.092449,            0.027122,           0.0060241,               0.125,           0.0036435,          0.00036435,              0.1151,            0.069929,            0.027551,            0.098121,           0.0001208,           0.0001208
                   3,             0.11349,            0.099991,            0.027272,           0.0059524,               0.125,           0.0036041,          0.00036041,             0.11499,            0.070064,            0.027501,            0.097122,           0.0001218,           0.0001218
                   4,             0.11528,             0.12609,            0.027415,           0.0059172,               0.125,           0.0036049,          0.00036049,             0.11488,            0.070188,            0.027424,            0.096083,            8.32e-05,            8.32e-05
                   0,             0.11305,             0.10607,            0.027289,            0.024845,             0.44444,            0.018355,           0.0042971,             0.11531,            0.069405,             0.02718,                 0.1,                   0,                   0
                   1,             0.11291,             0.10456,            0.027515,            0.024615,             0.44444,            0.018154,           0.0031511,             0.11529,            0.069447,            0.027172,             0.09908,            8.02e-05,            8.02e-05
                   2,             0.10978,            0.091044,            0.027466,            0.021672,             0.38889,            0.016162,           0.0027581,             0.11526,            0.069523,            0.027158,            0.098121,           0.0001208,           0.0001208
                   3,             0.11449,             0.13101,            0.027488,            0.024242,             0.44444,             0.01764,           0.0030786,             0.11502,            0.069756,            0.027109,            0.097122,           0.0001218,           0.0001218
                   4,             0.11273,            0.083081,            0.027503,            0.024242,             0.44444,            0.017674,           0.0030804,             0.11489,            0.069881,            0.027079,            0.096083,            8.32e-05,            8.32e-05
                   0,             0.11351,            0.095436,            0.027121,            0.012346,                0.25,           0.0080475,           0.0011604,              0.1151,            0.069938,            0.027599,                 0.1,                   0,                   0
                   1,             0.11523,             0.10126,            0.027071,             0.01227,                0.25,           0.0076687,            0.001112,             0.11511,             0.06991,            0.027582,             0.09908,            8.02e-05,            8.02e-05
                   2,             0.11246,            0.092449,            0.027122,           0.0060241,               0.125,           0.0036435,          0.00036435,              0.1151,            0.069929,            0.027551,            0.098121,           0.0001208,           0.0001208
                   3,             0.11349,            0.099991,            0.027272,           0.0059524,               0.125,           0.0036041,          0.00036041,             0.11499,            0.070064,            0.027501,            0.097122,           0.0001218,           0.0001218
                   4,             0.11528,             0.12609,            0.027415,           0.0059172,               0.125,           0.0036049,          0.00036049,             0.11488,            0.070188,            0.027424,            0.096083,            8.32e-05,            8.32e-05
                   0,             0.11351,            0.095436,            0.027121,            0.012346,                0.25,           0.0080475,           0.0011604,              0.1151,            0.069938,            0.027599,                 0.1,                   0,                   0
                   1,             0.11523,             0.10126,            0.027071,             0.01227,                0.25,           0.0076687,            0.001112,             0.11511,             0.06991,            0.027582,             0.09908,            8.02e-05,            8.02e-05
                   2,             0.11246,            0.092449,            0.027122,           0.0060241,               0.125,           0.0036435,          0.00036435,              0.1151,            0.069929,            0.027551,            0.098121,           0.0001208,           0.0001208
                   3,             0.11349,            0.099991,            0.027272,           0.0059524,               0.125,           0.0036041,          0.00036041,             0.11499,            0.070064,            0.027501,            0.097122,           0.0001218,           0.0001218
                   4,             0.11528,             0.12609,            0.027415,           0.0059172,               0.125,           0.0036049,          0.00036049,             0.11488,            0.070188,            0.027424,            0.096083,            8.32e-05,            8.32e-05
                   0,             0.11413,            0.093345,            0.027155,            0.038217,                 0.5,            0.031112,            0.008049,             0.11574,            0.082158,            0.027175,                 0.1,                   0,                   0
                   1,             0.11282,            0.094433,            0.027664,            0.037975,                 0.5,            0.031205,           0.0076147,             0.11564,            0.082387,            0.027158,             0.09908,            8.02e-05,            8.02e-05
                   2,             0.11034,            0.083604,            0.027365,            0.038217,                 0.5,            0.031267,           0.0076118,             0.11551,             0.08261,            0.027133,            0.098121,           0.0001208,           0.0001208
                   3,              0.1129,            0.094172,            0.027132,            0.037736,                 0.5,            0.030837,           0.0056129,             0.11536,            0.082887,            0.027113,            0.097122,           0.0001218,           0.0001218
                   4,             0.11347,              0.1229,            0.027593,            0.037736,                 0.5,            0.030686,           0.0060355,             0.11516,            0.083162,            0.027078,            0.096083,            8.32e-05,            8.32e-05
                   0,             0.11351,            0.095436,            0.027121,            0.012346,                0.25,           0.0080475,           0.0011604,              0.1151,            0.069938,            0.027599,                 0.1,                   0,                   0
                   1,             0.11523,             0.10126,            0.027071,             0.01227,                0.25,           0.0076687,            0.001112,             0.11511,             0.06991,            0.027582,             0.09908,            8.02e-05,            8.02e-05
                   2,             0.11246,            0.092449,            0.027122,           0.0060241,               0.125,           0.0036435,          0.00036435,              0.1151,            0.069929,            0.027551,            0.098121,           0.0001208,           0.0001208
                   3,             0.11349,            0.099991,            0.027272,           0.0059524,               0.125,           0.0036041,          0.00036041,             0.11499,            0.070064,            0.027501,            0.097122,           0.0001218,           0.0001218
                   4,             0.11528,             0.12609,            0.027415,           0.0059172,               0.125,           0.0036049,          0.00036049,             0.11488,            0.070188,            0.027424,            0.096083,            8.32e-05,            8.32e-05
                   0,             0.11408,              0.1033,            0.027359,             0.01227,             0.33333,           0.0084772,           0.0012129,             0.11578,            0.056767,            0.027351,                 0.1,                   0,                   0
                   1,             0.11364,              0.0963,            0.027616,            0.011976,             0.33333,           0.0083798,            0.001197,             0.11558,            0.056936,            0.027306,             0.09908,            8.02e-05,            8.02e-05
                   2,             0.11149,            0.087457,            0.027338,            0.011905,             0.33333,           0.0080088,           0.0011499,             0.11562,            0.056894,            0.027286,            0.098121,           0.0001208,           0.0001208
                   3,             0.11337,             0.10205,            0.027384,           0.0059172,             0.16667,           0.0038503,          0.00038503,             0.11561,            0.056872,            0.027238,            0.097122,           0.0001218,           0.0001218
                   4,             0.11433,             0.13215,            0.027597,            0.011696,             0.33333,           0.0078434,           0.0011266,             0.11543,               0.057,            0.027168,            0.096083,            8.32e-05,            8.32e-05
